Number of Empty Cells,Time
27,0.2438
28,0.0917
29,0.050601
30,0.0787
31,0.024801
32,0.035301
33,0.029399
34,0.0438
35,0.0351
36,0.1391
37,0.0428
38,0.040201
39,0.0878
40,0.0504
41,0.056101
42,0.050101
43,0.0524
44,0.110501
45,0.024599
46,0.019101
47,0.067101
48,0.161099
49,0.031
50,0.072899
51,0.025601
52,0.284899
53,0.559901
54,0.2567
