Number of Empty Cells,Time
54,1.374501
55,0.295
56,0.097999
57,0.325101
58,0.0953
59,0.1682
60,0.2922
61,0.0536
62,5.247999
63,0.7871
64,0.3799
65,0.2214
66,0.4426
67,0.293199
68,0.0322
69,0.236001
70,0.1939
71,0.0393
72,0.0326
73,0.0238
74,0.0387
75,0.0522
76,0.064
77,0.1071
78,0.1286
79,0.105
80,0.0751
81,0.0682
